x,y,gmt,precip_mm
-10633326.8162,3516950.8259999976,1.5,171.42128670933735
-10628695.9253,3516950.8259999976,1.5,175.16102692018072
-10624053.9026,3516950.8259999976,1.5,174.15060240963857
-10591582.0071,3516950.8259999976,1.5,183.81906532379517
-10586951.1163,3516950.8259999976,1.5,187.13874246987953
-10637968.8389,3522304.8748999983,1.5,171.53847420933735
-10633326.8162,3522304.8748999983,1.5,172.6538733057229
-10586951.1163,3522304.8748999983,1.5,187.5058358433735
-10591582.0071,3442100.6779000014,2.0,193.67021937086093
-10586951.1163,3442100.6779000014,2.0,194.19820985099338
-10600866.0527,3447436.3517000005,2.0,194.97255277317882
-10596224.0299,3447436.3517000005,2.0,196.765625
-10591582.0071,3447436.3517000005,2.0,195.21034250827816
-10586951.1163,3447436.3517000005,2.0,195.13746895695365
-10582309.0935,3447436.3517000005,2.0,196.41470923013244
-10577667.0708,3447436.3517000005,2.0,196.88935740894038
-10624053.9026,3452774.228600003,2.0,187.0011382450331
-10619411.8798,3452774.228600003,2.0,189.05962851821192
-10614780.989,3452774.228600003,2.0,193.18990583609272
-10610138.9662,3452774.228600003,2.0,195.81195674668874
-10605496.9435,3452774.228600003,2.0,195.0286889486755
-10600866.0527,3452774.228600003,2.0,199.31984685430464
-10596224.0299,3452774.228600003,2.0,197.69225993377484
-10591582.0071,3452774.228600003,2.0,197.80512727649005
-10586951.1163,3452774.228600003,2.0,197.186284147351
-10582309.0935,3452774.228600003,2.0,197.26826365894038
-10577667.0708,3452774.228600003,2.0,198.34698365066225
-10637968.8389,3458101.5047999993,2.0,182.44937396523179
-10633326.8162,3458101.5047999993,2.0,183.70258174668874
-10628695.9253,3458101.5047999993,2.0,185.25375103476821
-10624053.9026,3458101.5047999993,2.0,185.69339817880794
-10619411.8798,3458101.5047999993,2.0,187.63221750827816
-10614780.989,3458101.5047999993,2.0,191.51660802980132
-10610138.9662,3458101.5047999993,2.0,195.27656767384107
-10605496.9435,3458101.5047999993,2.0,196.26603890728478
-10600866.0527,3458101.5047999993,2.0,196.88974544701986
-10596224.0299,3458101.5047999993,2.0,197.73282284768212
-10591582.0071,3458101.5047999993,2.0,195.37311154801324
-10586951.1163,3458101.5047999993,2.0,197.61159975165563
-10582309.0935,3458101.5047999993,2.0,199.50354408112582
-10577667.0708,3458101.5047999993,2.0,199.13625310430464
-10647241.7525,3463443.796599999,2.0,180.78207781456953
-10642610.8617,3463443.796599999,2.0,182.57044184602648
-10637968.8389,3463443.796599999,2.0,182.82199399834437
-10633326.8162,3463443.796599999,2.0,181.92932533112582
-10628695.9253,3463443.796599999,2.0,183.61369515728478
-10624053.9026,3463443.796599999,2.0,184.40731063741723
-10619411.8798,3463443.796599999,2.0,187.26083919701986
-10614780.989,3463443.796599999,2.0,189.85836610099338
-10610138.9662,3463443.796599999,2.0,193.57238203642385
-10605496.9435,3463443.796599999,2.0,193.61258278145695
-10600866.0527,3463443.796599999,2.0,196.0235151076159
-10596224.0299,3463443.796599999,2.0,195.90161941225165
-10591582.0071,3463443.796599999,2.0,195.39150455298014
-10586951.1163,3463443.796599999,2.0,197.80106581125827
-10582309.0935,3463443.796599999,2.0,196.1641142384106
-10577667.0708,3463443.796599999,2.0,197.98259002483445
-10651883.7753,3468788.3055000007,2.0,176.91615790562915
-10647241.7525,3468788.3055000007,2.0,179.22193191225165
-10642610.8617,3468788.3055000007,2.0,180.38216576986756
-10637968.8389,3468788.3055000007,2.0,181.09375
-10633326.8162,3468788.3055000007,2.0,182.69738203642385
-10628695.9253,3468788.3055000007,2.0,183.15469784768212
-10624053.9026,3468788.3055000007,2.0,184.21031663907286
-10619411.8798,3468788.3055000007,2.0,186.62947537251657
-10614780.989,3468788.3055000007,2.0,189.49234271523179
-10610138.9662,3468788.3055000007,2.0,193.89561775662253
-10605496.9435,3468788.3055000007,2.0,194.48046875
-10600866.0527,3468788.3055000007,2.0,195.35241618377484
-10596224.0299,3468788.3055000007,2.0,198.13071709437085
-10591582.0071,3468788.3055000007,2.0,195.2721957781457
-10586951.1163,3468788.3055000007,2.0,195.00186258278146
-10582309.0935,3468788.3055000007,2.0,196.75196605960264
-10577667.0708,3468788.3055000007,2.0,197.7617963576159
-10573036.18,3468788.3055000007,2.0,198.4437344784768
-10661156.6889,3474122.2117,2.0,174.9949555049669
-10656525.798,3474122.2117,2.0,176.96295529801324
-10651883.7753,3474122.2117,2.0,176.4988358857616
-10647241.7525,3474122.2117,2.0,178.68561154801324
-10642610.8617,3474122.2117,2.0,179.13428704470198
-10637968.8389,3474122.2117,2.0,180.31376759105962
-10633326.8162,3474122.2117,2.0,182.7954521937086
-10628695.9253,3474122.2117,2.0,182.39127173013244
-10624053.9026,3474122.2117,2.0,184.33298841059602
-10619411.8798,3474122.2117,2.0,185.3685844370861
-10614780.989,3474122.2117,2.0,188.83358340231788
-10610138.9662,3474122.2117,2.0,191.75936465231788
-10605496.9435,3474122.2117,2.0,194.1812655215232
-10600866.0527,3474122.2117,2.0,195.40850062086093
-10596224.0299,3474122.2117,2.0,197.43178290562915
-10591582.0071,3474122.2117,2.0,198.90560326986756
-10586951.1163,3474122.2117,2.0,199.21013555463577
-10582309.0935,3474122.2117,2.0,197.4764848923841
-10577667.0708,3474122.2117,2.0,200.30251448675497
-10573036.18,3474122.2117,2.0,199.27941328642385
-10568394.1572,3474122.2117,2.0,196.2732564155629
-10665798.7116,3479471.1635000035,2.0,171.58880898178808
-10661156.6889,3479471.1635000035,2.0,174.5898696192053
-10656525.798,3479471.1635000035,2.0,172.2605287665563
-10651883.7753,3479471.1635000035,2.0,175.72206125827816
-10647241.7525,3479471.1635000035,2.0,177.60746067880794
-10642610.8617,3479471.1635000035,2.0,178.85702090231788
-10637968.8389,3479471.1635000035,2.0,179.71437810430464
-10633326.8162,3479471.1635000035,2.0,179.80111754966887
-10628695.9253,3479471.1635000035,2.0,181.30939569536423
-10624053.9026,3479471.1635000035,2.0,183.99425703642385
-10619411.8798,3479471.1635000035,2.0,185.07396005794703
-10614780.989,3479471.1635000035,2.0,187.95635865066225
-10610138.9662,3479471.1635000035,2.0,190.66416597682118
-10605496.9435,3479471.1635000035,2.0,193.56938120860926
-10600866.0527,3479471.1635000035,2.0,194.4427514486755
-10596224.0299,3479471.1635000035,2.0,197.00214714403972
-10591582.0071,3479471.1635000035,2.0,195.51914321192052
-10586951.1163,3479471.1635000035,2.0,198.82846129966887
-10582309.0935,3479471.1635000035,2.0,199.92334954470198
-10577667.0708,3479471.1635000035,2.0,199.3671616307947
